WKR_NR;Gebiet;gehört zu;Gewählt;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wählende;Wählende;Wählende;Wählende;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;SPD;SPD;SPD;SPD;CDU;CDU;CDU;CDU;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;FDP;FDP;FDP;FDP;AFD;AFD;AFD;AFD;CSU;CSU;CSU;CSU;DIELINKE;DIELINKE;DIELINKE;DIELINKE
;;;;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen
;;;;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode
103;Mettmann I;5;Christlich Demokratische Union Deutschlands;200861;203030;200861;203030;167725;159457;167725;159457;1481;1561;996;1149;166244;157896;166729;158308;37459;39326;31486;42385;60821;47326;53525;43354;20715;36095;21296;25430;7480;14873;9418;21083;26198;10704;25930;10658;;;;;10712;4252;11506;4956
104;Mettmann II;5;Christlich Demokratische Union Deutschlands;156872;160175;156872;160175;129858;123769;129858;123769;1231;1172;761;877;128627;122597;129097;122892;32170;37635;25094;34409;46153;38429;41355;33254;14237;17730;14517;18112;5007;11158;6816;16235;22096;8894;21731;9104;;;;;8542;3395;9158;3887
105;Düsseldorf I;5;Christlich Demokratische Union Deutschlands;224440;220827;224440;220827;187087;175110;187087;175110;1412;1162;764;807;185675;173948;186323;174303;39355;38955;32067;38195;67117;54158;56471;44892;32269;36926;34049;39452;9883;24242;14550;27743;18226;7002;18535;7495;;;;;13318;5094;17731;6741
106;Düsseldorf II;5;Christlich Demokratische Union Deutschlands;188871;190102;188871;190102;151917;142287;151917;142287;1309;1153;778;855;150608;141134;151139;141432;34737;41169;28534;35671;43286;34801;38007;31639;27347;30201;25780;31524;6249;14143;8236;17335;19575;8214;19608;8503;;;;;14022;5418;17790;6931
107;Neuss I;5;Christlich Demokratische Union Deutschlands;210819;213250;210819;213250;173213;162167;173213;162167;1653;1605;1032;1201;171560;160562;172181;160966;46410;51391;32057;43760;62250;57445;56599;48166;14559;18051;18439;21951;7267;12932;9019;20333;29039;10801;29147;11298;;;;;12035;4153;12781;4771
108;Mönchengladbach;5;Christlich Demokratische Union Deutschlands;181209;185185;181209;185185;140093;129646;140093;129646;1647;1707;974;1241;138446;127939;139119;128405;36398;37548;26039;34877;50180;45550;42525;36555;13648;17302;13843;18166;4553;10957;6325;15459;25290;9915;25127;9641;;;;;;;13206;4927
109;Krefeld I – Neuss II;5;Christlich Demokratische Union Deutschlands;196586;200048;196586;200048;164175;155726;164175;155726;1494;1520;931;1132;162681;154206;163244;154594;36512;39253;29573;39407;61543;51500;55632;45635;17840;24383;20007;24014;8910;18781;10106;22069;23769;9150;23886;9342;;;;;10838;4319;11476;4680
110;Viersen;5;Christlich Demokratische Union Deutschlands;223737;227166;223737;227166;185888;175085;185888;175085;1736;1740;1166;1333;184152;173345;184722;173752;38071;47806;33644;46375;73676;62123;64228;52896;19438;24394;21085;25673;7317;15140;10039;22281;29425;10312;29312;10357;;;;;11337;5558;11875;5203
111;Kleve;5;Christlich Demokratische Union Deutschlands;223650;225463;223650;225463;182410;171093;182410;171093;1387;1628;1094;1326;181023;169465;181316;169767;39197;48142;34004;47837;74624;63701;66213;54793;16447;23477;18986;23587;6098;14821;8100;19542;28974;9788;29097;9632;;;;;10755;4235;11625;4728
112;Wesel I;5;Christlich Demokratische Union Deutschlands;204087;206270;204087;206270;170462;160625;170462;160625;1425;1460;970;1128;169037;159165;169492;159497;47432;54488;39286;53277;58855;47448;53363;42544;13787;19928;16092;20629;6123;14452;7204;17302;29375;10842;29405;10994;;;;;10274;4598;11150;5103
113;Krefeld II – Wesel II;5;Christlich Demokratische Union Deutschlands;173314;175852;173314;175852;140198;131664;140198;131664;1267;1378;841;1048;138931;130286;139357;130616;42077;45852;31190;41476;44337;37033;40218;32316;12057;17398;15317;19539;4955;10954;6702;14899;23341;9077;23133;9189;;;;;8553;4100;11212;4703
